track Name,artists,track_id,popularity,duration_ms,explicit,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,69,369600,False,classic rock,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,audio_features,3AhXZa8sUQht0UEdBJgpGc,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,4
Smells Like Teen Spirit,Nirvana,3oTlkzk1OtrhH8wBAduVEi,0,300977,False,grunge,0.485,0.863,1,-9.027,1,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,audio_features,3oTlkzk1OtrhH8wBAduVEi,spotify:track:3oTlkzk1OtrhH8wBAduVEi,https://api.spotify.com/v1/tracks/3oTlkzk1OtrhH8wBAduVEi,https://api.spotify.com/v1/audio-analysis/3oTlkzk1OtrhH8wBAduVEi,4
A Day In The Life - Remastered,The Beatles,3ZFBeIyP41HhnALjxWy1pR,0,337413,False,british invasion,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,3ZFBeIyP41HhnALjxWy1pR,spotify:track:3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/tracks/3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/audio-analysis/3ZFBeIyP41HhnALjxWy1pR,4
Good Vibrations (Mono),The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,17,219147,False,baroque pop,0.398,0.413,1,-10.934,1,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574,audio_features,5Qt4Cc66g24QWwGP3YYV9y,spotify:track:5Qt4Cc66g24QWwGP3YYV9y,https://api.spotify.com/v1/tracks/5Qt4Cc66g24QWwGP3YYV9y,https://api.spotify.com/v1/audio-analysis/5Qt4Cc66g24QWwGP3YYV9y,4
Johnny B Goode,Chuck Berry,7MH2ZclofPlTrZOkPzZKhK,0,160893,False,blues,0.518,0.756,10,-10.851,1,0.0915,0.735,6.2e-05,0.317,0.968,166.429,audio_features,7MH2ZclofPlTrZOkPzZKhK,spotify:track:7MH2ZclofPlTrZOkPzZKhK,https://api.spotify.com/v1/tracks/7MH2ZclofPlTrZOkPzZKhK,https://api.spotify.com/v1/audio-analysis/7MH2ZclofPlTrZOkPzZKhK,4
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr,73,147600,False,classic soul,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,7s25THrKz86DM225dOYwnr,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,4
Be My Baby,The Ronettes,2G2YzndIA6jeWFPBXhUjh5,70,160907,False,brill building pop,0.511,0.769,4,-7.032,1,0.042,0.181,0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,4
What's Going On,Marvin Gaye,0UAu4pJ44T9X2AmaUh1hHO,0,233000,False,classic soul,0.282,0.716,1,-9.632,0,0.0985,0.451,0,0.399,0.83,201.958,audio_features,0UAu4pJ44T9X2AmaUh1hHO,spotify:track:0UAu4pJ44T9X2AmaUh1hHO,https://api.spotify.com/v1/tracks/0UAu4pJ44T9X2AmaUh1hHO,https://api.spotify.com/v1/audio-analysis/0UAu4pJ44T9X2AmaUh1hHO,4
I Heard It Through The Grapevine,Marvin Gaye,27m1soUndRthrAA1ediOXn,0,195267,False,classic soul,0.729,0.324,8,-13.017,0,0.0393,0.195,0,0.101,0.679,116.855,audio_features,27m1soUndRthrAA1ediOXn,spotify:track:27m1soUndRthrAA1ediOXn,https://api.spotify.com/v1/tracks/27m1soUndRthrAA1ediOXn,https://api.spotify.com/v1/audio-analysis/27m1soUndRthrAA1ediOXn,4
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,7fSGbZLhWlAiCC3HDPAULu,0,222813,False,album rock,0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282,audio_features,7fSGbZLhWlAiCC3HDPAULu,spotify:track:7fSGbZLhWlAiCC3HDPAULu,https://api.spotify.com/v1/tracks/7fSGbZLhWlAiCC3HDPAULu,https://api.spotify.com/v1/audio-analysis/7fSGbZLhWlAiCC3HDPAULu,4
